Nome, Categoria, Avaliações
Garena Free Fire - The Cobra, GAME ACTION, 80678661
Clash of Clans, GAME STRATEGY, 55170976
PUBG MOBILE: Graffiti Prank, GAME ACTION, 35971961
Subway Surfers, GAME ARCADE, 35305263
Candy Crush Saga, GAME CASUAL, 30859251
Clash Royale, GAME STRATEGY, 30599283
Mobile Legends: Bang Bang, GAME ACTION, 25836869
Roblox, GAME ADVENTURE, 20649769
Brawl Stars, GAME ACTION, 17181659
My Talking Tom, GAME CASUAL, 16715691
Pokémon GO, GAME ADVENTURE, 14401261
Sniper 3D: Fun Free Online FPS Shooting Game, GAME ACTION, 14237554
Shadow Fight 2, GAME ACTION, 14048931
Dream League Soccer, GAME SPORTS, 13374620
Call of Duty®: Mobile - Day of Reckoning, GAME ACTION, 13020115
My Talking Angela, GAME CASUAL, 12866276
Hay Day, GAME CASUAL, 11955303
Pou, GAME CASUAL, 11449723
Among Us, GAME ACTION, 11298789
Minion Rush: Despicable Me Official Game, GAME CASUAL, 10647190
Gardenscapes, GAME CASUAL, 10561106
Hill Climb Racing, GAME RACING, 10109437
Homescapes, GAME CASUAL, 9950630
Temple Run 2, GAME ACTION, 9554877
"Asphalt 8 Racing Game - Drive, Drift at Real Speed", GAME RACING, 9501337
Farm Heroes Saga, GAME CASUAL, 9014495
Dragon City, GAME SIMULATION, 8241702
Township, GAME CASUAL, 8202126
Candy Crush Soda Saga, GAME CASUAL, 8005959
Traffic Rider, GAME RACING, 7501902
PUBG MOBILE LITE, GAME ACTION, 7392911
FIFA Soccer, GAME SPORTS, 7280320
Trivia Crack, GAME TRIVIA, 7271580
Hungry Shark Evolution - Offline survival game, GAME ARCADE, 7141044
Ludo King™, GAME BOARD, 7048207
Geometry Dash Lite, GAME ARCADE, 6894310
Plants vs Zombies™ 2 Free, GAME CASUAL, 6886372
Score! Hero, GAME SPORTS, 6779161
Real Racing 3, GAME RACING, 6618421
slither.io, GAME ACTION, 6475640
Lords Mobile: Kingdom Wars, GAME STRATEGY, 6282716
Gangstar Vegas: World of Crime, GAME ACTION, 6203689
eFootball PES 2021, GAME SPORTS, 6173868
Boom Beach, GAME STRATEGY, 6043927
Traffic Racer, GAME RACING, 6028847
Dr. Driving, GAME RACING, 6001808
Zombie Tsunami, GAME ARCADE, 5855907
Angry Birds Classic, GAME ARCADE, 5683301
Angry Birds 2, GAME CASUAL, 5667376
Pixel Gun 3D: FPS Shooter & Battle Royale, GAME ACTION, 5651287
The Sims FreePlay, GAME SIMULATION, 5518439
Coin Master, GAME CASUAL, 5482333
Fruit Ninja®, GAME ARCADE, 5347039
Sonic Dash - Endless Running & Racing Game, GAME ARCADE, 5324391
Bowmasters, GAME ACTION, 5245027
SimCity BuildIt, GAME SIMULATION, 5193030
Plants vs. Zombies FREE, GAME STRATEGY, 5098445
Castle Clash: Guild Royale, GAME STRATEGY, 4977281
Jetpack Joyride, GAME ARCADE, 4908222
Temple Run, GAME ARCADE, 4744985
Fishdom, GAME PUZZLE, 4739196
Smash Hit, GAME ARCADE, 4570599
Top Eleven 2021: Be a Soccer Manager, GAME SPORTS, 4566390
Cooking Fever, GAME ARCADE, 4509959
Standoff 2, GAME ACTION, 4457338
Crossy Road, GAME ACTION, 4456347
Need for Speed™ No Limits, GAME RACING, 4450952
Banana Kong, GAME ACTION, 4448938
Garena Liên Quân Mobile, GAME ACTION, 4443546
CSR Racing 2 – Free Car Racing Game, GAME RACING, 4434127
Brain Out – Can you pass it?, GAME PUZZLE, 4312464
Criminal Case, GAME ADVENTURE, 4262608
Helix Jump, GAME ACTION, 4260419
War Robots. 6v6 Tactical Multiplayer Battles, GAME ACTION, 4193941
MORTAL KOMBAT: The Ultimate Fighting Game!, GAME ACTION, 4162892
My Cafe — Restaurant Game. Serve & Manage, GAME CASUAL, 4112331
Agar.io, GAME ACTION, 4097530
Last Day on Earth: Survival, GAME ACTION, 4092418
The Simpsons™: Tapped Out, GAME CASUAL, 4073314
Hill Climb Racing 2, GAME RACING, 4049586
Minecraft, GAME ARCADE, 3999232
Brain Test: Tricky Puzzles, GAME TRIVIA, 3989535
DEER HUNTER CLASSIC, GAME ACTION, 3986647
LINE Let's Get Rich, GAME CASUAL, 3980631
Angry Birds Go!, GAME RACING, 3871745
Grow Empire: Rome, GAME STRATEGY, 3639955
World of Tanks Blitz PVP MMO 3D tank game for free, GAME STRATEGY, 3586366
Episode - Choose Your Story, GAME SIMULATION, 3541983
Plague Inc., GAME SIMULATION, 3486810
Modern Combat 5: eSports FPS, GAME ACTION, 3480214
Extreme Car Driving Simulator, GAME RACING, 3479061
Pet Rescue Saga, GAME CASUAL, 3465392
My Talking Tom 2, GAME CASUAL, 3452778
Fallout Shelter, GAME SIMULATION, 3401011
Vector, GAME ARCADE, 3380525
Monster Legends: Breed & Merge Heroes Battle Arena, GAME STRATEGY, 3308917
Idle Miner Tycoon: Mine & Money Clicker Management, GAME SIMULATION, 3204434
Granny, GAME ARCADE, 3195259
Toon Blast, GAME PUZZLE, 3160720
Kick the Buddy, GAME ACTION, 3138199
